sentence_1;sentence_2;similarity_score
Eyeglass frames;Apparatus and instruments for controlling electricity;0.0
Eyeglass frames;Apparatus and instruments for regulating electricity;0.0
Eyeglass frames;Apparatus and instruments for switching electricity;0.0
Eyeglass frames;Apparatus and instruments for transforming electricity;0.0
Eyeglass frames;Apparatus for the reproduction of images;0.0
Eyeglass frames;Calculators;0.0
Eyeglass frames;Cash registers;0.0
Eyeglass frames;Checking (supervision) apparatus and instruments;0.0
Eyeglass frames;Cinematographic machines and apparatus;0.0
Eyeglass frames;Coin-operated mechanisms;0.0
Eyeglass frames;Compact discs;0.0
Eyeglass frames;Computers;0.0
Eyeglass frames;Data processing apparatus;0.0
Eyeglass frames;DVDs;0.0
Eyeglass frames;Fire extinguishers;0.0
Eyeglass frames;Life-saving apparatus and instruments;0.0
Eyeglass frames;Magnetic data media;0.0
Eyeglass frames;Measuring apparatus and instruments;0.0
Eyeglass frames;Nautical apparatus and instruments;0.0
Eyeglass frames;Phonograph records;0.0
Eyeglass frames;Photographic apparatus and instruments;0.0
Eyeglass frames;Scientific apparatus and instruments;0.0
Eyeglass frames;Signalling apparatus and instruments;0.0
Eyeglass frames;Sound recording apparatus;0.0
Eyeglass frames;Sound transmitting apparatus;0.0
Eyeglass frames;Surveying apparatus and instruments;0.0
Eyeglass frames;Teaching apparatus and instruments;0.0
Eyeglass frames;Weighing apparatus and instruments;0.0
Fabrics for textile use;Animal skins;0.0
Fabrics for textile use;Duffel bags;0.0
Fabrics for textile use;Rucksacks;0.0
Fabrics for textile use;Saddlery;0.0
Fabrics for textile use;Tool bags of leather, empty;0.0
Fabrics for textile use;Umbrellas;0.0
Fabrics for textile use;Whips;0.0
Fabrics;Animal skins;0.0
Fabrics;Daypacks;0.0
Fabrics;Duffel bags;0.0
Fabrics;Parasols;0.0
Fabrics;Patio umbrellas;0.0
Fabrics;Rucksacks;0.0
Fabrics;Saddlery;0.0
Fabrics;Tool bags of leather, empty;0.0
Fabrics;Umbrellas;0.0
Fabrics;Walking sticks;0.0
Fabrics;Whips;0.0
Factoring;Real estate affairs;0.0
False eyelashes;Abraders;0.0
False eyelashes;Abrasives;0.0
False eyelashes;Bleaching preparations;0.0
False eyelashes;Cakes of toilet soap;0.0
False eyelashes;Dentifrices;0.0
False eyelashes;Ethereal oils;0.0
False eyelashes;Fragrances;0.0
False eyelashes;Furbishing preparations;0.0
False eyelashes;Hair care creams;0.0
False eyelashes;Hair care lotions;0.0
False eyelashes;Hair lotions;0.0
False eyelashes;Hair tonic;0.0
False eyelashes;Laundry preparations;0.0
False eyelashes;Moistened tooth powder;0.0
False eyelashes;Other substances for laundry use;0.0
False eyelashes;Perfumery;0.0
False eyelashes;Perfumes;0.0
False eyelashes;Polishing preparations;0.0
False eyelashes;Scented water;0.0
False eyelashes;Scouring substances;0.0
False eyelashes;Soap;0.0
False eyelashes;Toilet soap;0.0
False eyelashes;Tooth cleaning preparations;0.0
False eyelashes;Tooth powder;0.0
False eyelashes;Toothpaste;0.0
False hair;Artificial flowers;0.0
False hair;Needles;0.0
False hair;Pins;0.0
False hair;Snap fasteners;0.0
False nails;Abraders;0.0
False nails;Abrasives;0.0
False nails;Bleaching preparations;0.0
False nails;Cakes of toilet soap;0.0
False nails;Cleaning preparations;0.0
False nails;Cutlery;0.0
False nails;Dentifrices;0.0
False nails;Ethereal oils;0.0
False nails;Fragrances;0.0
False nails;Furbishing preparations;0.0
False nails;Hair care creams;0.0
False nails;Hair care lotions;0.0
False nails;Hair lotions;0.0
False nails;Hair tonic;0.0
False nails;Hand tools and implements [hand-operated];0.0
False nails;Laundry bleach;0.0
False nails;Laundry preparations;0.0
False nails;Moistened tooth powder;0.0
False nails;Other substances for laundry use;0.0
False nails;Perfumery;0.0
False nails;Perfumes;0.0
False nails;Razors;0.0
False nails;Scented water;0.0
False nails;Scouring substances;0.0
False nails;Side arms, other than firearms;0.0
False nails;Soap;0.0
False nails;Toilet soap;0.0
False nails;Tooth cleaning preparations;0.0
False nails;Tooth powder;0.0
False nails;Toothpaste;0.0
Fan belts for motors and engines;Machine couplings and transmissions, except for land vehicles;0.0
Fans for motors and engines;Machine couplings and transmissions, except for land vehicles;0.0
Feather beds;Linoleum for covering existing floors;0.0
Feather beds;Matting;0.0
Feeders [parts of machines];Machine couplings and transmissions, except for land vehicles;0.0
Feeding aids and pacifiers;Agriculture, aquaculture, horticulture and forestry services;0.0
Feeding aids and pacifiers;Animal grooming services;0.0
Feeding aids and pacifiers;Animal healthcare services;0.0
Feeding aids and pacifiers;Human healthcare services;0.0
Feeding aids and pacifiers;Human hygiene and beauty care;0.0
Feeding apparatus for engine boilers;Machine couplings and transmissions, except for land vehicles;0.0
Feeding bottle teats;Cakes of toilet soap;0.0
Feeding bottle teats;Cosmetics;0.0
Feeding bottle teats;Dentifrices;0.0
Feeding bottle teats;Ethereal oils;0.0
Feeding bottle teats;Fragrances;0.0
Feeding bottle teats;Hair care creams;0.0
Feeding bottle teats;Hair care lotions;0.0
Feeding bottle teats;Hair lotions;0.0
Feeding bottle teats;Hair tonic;0.0
Feeding bottle teats;Moistened tooth powder;0.0
Feeding bottle teats;Perfumery;0.0
Feeding bottle teats;Perfumes;0.0
Feeding bottle teats;Pharmaceutical preparations;0.0
Feeding bottle teats;Soap;0.0
Feeding bottle teats;Toilet soap;0.0
Feeding bottle teats;Tooth cleaning preparations;0.0
Feeding bottle teats;Tooth powder;0.0
Feeding bottle teats;Toothpaste;0.0
Feeding bottle valves;Pharmaceutical preparations;0.0
Feeding bottles;Artificial eyes;0.0
Feeding bottles;Artificial limbs;0.0
Feeding bottles;Artificial teeth;0.0
Feeding bottles;Dental apparatus and instruments;0.0
Feeding bottles;Medical apparatus and instruments;0.0
Feeding bottles;Orthopedic articles;0.0
Feeding bottles;Surgical apparatus and instruments;0.0
Feeding bottles;Suture materials;0.0
Feeding bottles;Veterinary apparatus and instruments;0.0
Fencing weapons;Animal skins;0.0
Fencing weapons;Coverings of skins [furs];0.0
Fencing weapons;Harness for animals;0.0
Fencing weapons;Imitation leather;0.0
Fencing weapons;Leather for shoes;0.0
Fencing weapons;Saddlery;0.0
Fencing weapons;Straps of leather [saddlery];0.0
Fencing weapons;Trunks [luggage];0.0
Fencing weapons;Whips;0.0
Fertilizers;Chemico-pharmaceutical preparations;0.0
Fertilizers;Cinematographic film, sensitized but not exposed;0.0
Fertilizers;Pharmaceutical preparations;0.0
Fertilizers;Photometric paper;0.0
Fertilizers;Photosensitive plates;0.0
Fertilizers;Reagent paper, other than for medical or veterinary purposes;0.0
Fertilizers;Sensitised paper;0.0
Fertilizers;Sensitized films, unexposed;0.0
Fertilizers;Sensitized plates for offset printing;0.0
Fertilizers;X-ray films, sensitized but not exposed;0.0
Fertilizing preparations;Pharmaceutical preparations;0.0
Fillers for vehicle body and tyre repair;Acoustic insulation articles and materials;0.0
Fillers for vehicle body and tyre repair;Adhesive tapes, strips, bands and films;0.0
Fillers for vehicle body and tyre repair;Clutch and brake linings;0.0
Fillers for vehicle body and tyre repair;Elastomers;0.0
Fillers for vehicle body and tyre repair;Electrical insulation articles and materials;0.0
Fillers for vehicle body and tyre repair;Fire resistant and fire preventive articles and materials;0.0
Fillers for vehicle body and tyre repair;Food and beverage colorings;0.0
Fillers for vehicle body and tyre repair;Lacquers and varnishes;0.0
Fillers for vehicle body and tyre repair;Membranes and semi-processed synthetic filtering materials;0.0
Fillers for vehicle body and tyre repair;Metal in foil and powder form;0.0
Fillers for vehicle body and tyre repair;Mineral fibers;0.0
Fillers for vehicle body and tyre repair;Pipes and tubes, and fittings therefor, including valves, non-metallic;0.0
Fillers for vehicle body and tyre repair;Pitch, tar, bitumen and asphalt;0.0
Fillers for vehicle body and tyre repair;Polyester;0.0
Fillers for vehicle body and tyre repair;Preservatives;0.0
Fillers for vehicle body and tyre repair;Railway materials, non-metallic;0.0
Fillers for vehicle body and tyre repair;Scaffolding, non-metallic;0.0
Fillers for vehicle body and tyre repair;Shock-absorbing and packing materials, vibration dampers;0.0
Fillers for vehicle body and tyre repair;Signs, and information and advertising displays, non-metallic;0.0
Fillers for vehicle body and tyre repair;Stone, rock, clay and minerals;0.0
Fillers for vehicle body and tyre repair;Thermal insulation articles and materials;0.0
Fillers for vehicle body and tyre repair;Waterproofing and moisture proofing articles and materials;0.0
Fillers for vehicle body and tyre repair;Wood and artificial wood;0.0
Films, exposed;Paper and cardboard;0.0
Filtering machines, separators and centrifuges;Access control devices;0.0
Filtering machines, separators and centrifuges;Agricultural, gardening and landscaping tools;0.0
Filtering machines, separators and centrifuges;Air and space vehicles;0.0
Filtering machines, separators and centrifuges;Air fragrancing apparatus;0.0
Filtering machines, separators and centrifuges;Alarms and warning equipment;0.0
Filtering machines, separators and centrifuges;Animal slaughtering and butchering implements;0.0
Filtering machines, separators and centrifuges;Apparatus and instruments for accumulating and storing electricity;0.0
Filtering machines, separators and centrifuges;Apparatus and instruments for controlling electricity;0.0
Filtering machines, separators and centrifuges;Aquaria and vivaria;0.0
Filtering machines, separators and centrifuges;Audio/visual and photographic devices;0.0
Filtering machines, separators and centrifuges;Body art tools;0.0
Filtering machines, separators and centrifuges;Chemical processing equipment;0.0
Filtering machines, separators and centrifuges;Communications equipment;0.0
Filtering machines, separators and centrifuges;Data processing equipment and accessories (electrical and mechanical);0.0
Filtering machines, separators and centrifuges;Data storage devices;0.0
Filtering machines, separators and centrifuges;Databases (electronic);0.0
Filtering machines, separators and centrifuges;Decorative fountains, sprinkler and irrigation systems;0.0
Filtering machines, separators and centrifuges;Dental cleaning articles;0.0
Filtering machines, separators and centrifuges;Devices for pest and vermin control;0.0
Filtering machines, separators and centrifuges;Dustbins;0.0
Filtering machines, separators and centrifuges;Electric and electronic components;0.0
Filtering machines, separators and centrifuges;Fire tending implements;0.0
Filtering machines, separators and centrifuges;Gas cleaners and purifiers;0.0
Filtering machines, separators and centrifuges;Glasses, drinking vessels and barware;0.0
Filtering machines, separators and centrifuges;Hair cutting and removal implements;0.0
Filtering machines, separators and centrifuges;Hair styling appliances;0.0
Filtering machines, separators and centrifuges;Hand tools for construction, repair and maintenance;0.0
Filtering machines, separators and centrifuges;HVAC systems (heating, ventilation and air conditioning);0.0
Filtering machines, separators and centrifuges;Industrial ovens and furnaces (not for food or beverages);0.0
Filtering machines, separators and centrifuges;Land vehicles and conveyances;0.0
Filtering machines, separators and centrifuges;Lasers;0.0
Filtering machines, separators and centrifuges;Manicure and pedicure tools;0.0
Filtering machines, separators and centrifuges;Measuring, counting, alignment and calibrating instruments;0.0
Filtering machines, separators and centrifuges;Media content;0.0
Filtering machines, separators and centrifuges;Monitoring instruments;0.0
Filtering machines, separators and centrifuges;Optical enhancers;0.0
Filtering machines, separators and centrifuges;Optical goods;0.0
Filtering machines, separators and centrifuges;Parts and fittings for vehicles;0.0
Filtering machines, separators and centrifuges;Photovoltaics;0.0
Filtering machines, separators and centrifuges;Protective and safety equipment;0.0
Filtering machines, separators and centrifuges;Replicating apparatus;0.0
Filtering machines, separators and centrifuges;Sanitary and bathroom installations and plumbing fixtures;0.0
Filtering machines, separators and centrifuges;Sensors and detectors;0.0
Filtering machines, separators and centrifuges;Signal cables for IT, AV and telecommunication;0.0
Filtering machines, separators and centrifuges;Signalling apparatus;0.0
Filtering machines, separators and centrifuges;Software;0.0
Filtering machines, separators and centrifuges;Steam baths, saunas and spas;0.0
Filtering machines, separators and centrifuges;Sterilization, disinfection and decontamination equipment;0.0
Filtering machines, separators and centrifuges;Testing and quality control devices;0.0
Filtering machines, separators and centrifuges;Vehicle lighting and lighting reflectors;0.0
Filtering machines, separators and centrifuges;Water vehicles;0.0
Filtering materials of paper;Education, entertainment and sports;0.0
Filtering materials of paper;Publishing and reporting;0.0
Filtering materials of paper;Translation and interpretation;0.0
Filters for cleaning cooling air, for engines;Machine couplings and transmissions, except for land vehicles;0.0
Filters for industrial and household use;Articles for animals;0.0
Filters for industrial and household use;Brushes and brush-making articles;0.0
Filters for industrial and household use;Cleaning articles;0.0
Filters for industrial and household use;Cosmetic and toilet utensils;0.0
Filters for industrial and household use;Doors, gates, windows and window coverings, not of metal;0.0
Filters for industrial and household use;Gardening articles;0.0
Filters for industrial and household use;Statues and works of art made of materials such as stone, concrete and marble, included in the class;0.0
Filters for industrial and household use;Statues, figurines, plaques and works of art, made of materials such as porcelain, terra-cotta or glass, included in the class;0.0
Filters for industrial and household use;Structures and transportable buildings, not of metal;0.0
Filters for industrial and household use;Tableware, cookware and containers;0.0
Filters for industrial and household use;Unworked and semi-worked glass, not specified for use;0.0
Finance services;Auctioneering services;0.0
Finance services;Data storage devices;0.0
Finance services;Real estate affairs;0.0
Finance services;Rental of vending machines;0.0
Finance services;Software;0.0
Financial analysis;Provision of engineering reports;0.0
Financial analysis;Real estate affairs;0.0
Financial consultancy;Real estate affairs;0.0
Financial evaluation of standing timber;Real estate affairs;0.0
Financial evaluation of wool;Real estate affairs;0.0
Financial information, data, advice and consultancy services;Astrological and spiritual services;0.0
Financial information, data, advice and consultancy services;Dating services;0.0
Financial information, data, advice and consultancy services;Detective services;0.0
Financial information, data, advice and consultancy services;Funerary services;0.0
Financial information, data, advice and consultancy services;Religious services;0.0
Financial information, data, advice and consultancy services;Rental of clothing;0.0
Financial information;Real estate affairs;0.0
Financial management;Real estate affairs;0.0
Financial sponsorship;Real estate affairs;0.0
Financial transfers and transactions, and payment services;Astrological and spiritual services;0.0
Financial transfers and transactions, and payment services;Dating services;0.0
Financial transfers and transactions, and payment services;Detective services;0.0
Financial transfers and transactions, and payment services;Funerary services;0.0
Financial transfers and transactions, and payment services;Religious services;0.0
Financial transfers and transactions, and payment services;Rental of clothing;0.0
Financial, monetary and banking services;Legal services;0.0
Financial, monetary and banking services;Personal and social services;0.0
Financial, monetary and banking services;Safety, rescue, security and enforcement services;0.0
Financing and funding services;Astrological and spiritual services;0.0
Financing and funding services;Dating services;0.0
Financing and funding services;Detective services;0.0
Financing and funding services;Funerary services;0.0
Financing and funding services;Religious services;0.0
Financing and funding services;Rental of clothing;0.0
Financing services;Real estate affairs;0.0
Fire burrs;Asbestos;0.0
Fire burrs;Buildings, transportable, not of metal;0.0
Fire burrs;Mica;0.0
Fire burrs;Monuments, not of metal;0.0
Fire burrs;Rubber, raw or semi-worked;0.0
Fire extinguishers;Accounting machines;0.0
Fire extinguishers;Adding machines;0.0
Fire extinguishers;Apparatus and instruments for accumulating electricity;0.0
Fire extinguishers;Apparatus and instruments for conducting electricity;0.0
Fire extinguishers;Apparatus and instruments for controlling electricity;0.0
Fire extinguishers;Apparatus and instruments for regulating electricity;0.0
Fire extinguishers;Apparatus and instruments for switching electricity;0.0
Fire extinguishers;Apparatus and instruments for transforming electricity;0.0
Fire extinguishers;Apparatus for recording images;0.0
Fire extinguishers;Apparatus for the reproduction of images;0.0
Fire extinguishers;Apparatus for the transmission of images;0.0
Fire extinguishers;Calculators;0.0
Fire extinguishers;Cash registers;0.0
Fire extinguishers;Checking (supervision) apparatus and instruments;0.0
Fire extinguishers;Cinematographic cameras;0.0
Fire extinguishers;Cinematographic machines and apparatus;0.0
Fire extinguishers;Coin-operated mechanisms;0.0
Fire extinguishers;Computers;0.0
Fire extinguishers;Data processing apparatus;0.0
Fire extinguishers;Data processing equipment;0.0
Fire extinguishers;Door closers, electric;0.0
Fire extinguishers;Door openers, electric;0.0
Fire extinguishers;Electric arc cutting apparatus;0.0
Fire extinguishers;Electrical apparatus for sealing plastics [packaging];0.0
Fire extinguishers;Elevator operating apparatus;0.0
Fire extinguishers;Flowmeters;0.0
Fire extinguishers;Magnetic data media;0.0
Fire extinguishers;Magnets;0.0
Fire extinguishers;Measuring apparatus;0.0
Fire extinguishers;Measuring apparatus and instruments;0.0
Fire extinguishers;Nautical apparatus and instruments;0.0
Fire extinguishers;Notebook computers;0.0
Fire extinguishers;Optical apparatus and instruments;0.0
Fire extinguishers;Phonograph records;0.0
Fire extinguishers;Photographic apparatus and instruments;0.0
Fire extinguishers;Scientific apparatus and instruments;0.0
Fire extinguishers;Sound recording apparatus;0.0
Fire extinguishers;Surveying apparatus and instruments;0.0
Fire extinguishers;Teaching apparatus;0.0
Fire extinguishers;Teaching apparatus and instruments;0.0
Fire extinguishers;Vending machines;0.0
Fire extinguishers;Weighing apparatus and instruments;0.0
Fire extinguishing compositions;Cinematographic film, sensitized but not exposed;0.0
Fire extinguishing compositions;Photometric paper;0.0
Fire extinguishing compositions;Photosensitive plates;0.0
Fire extinguishing compositions;Reagent paper, other than for medical or veterinary purposes;0.0
Fire extinguishing compositions;Sensitised paper;0.0
Fire extinguishing compositions;Sensitized films, unexposed;0.0
Fire extinguishing compositions;Sensitized plates for offset printing;0.0
Fire extinguishing compositions;X-ray films, sensitized but not exposed;0.0
Fire insurance underwriting;Provision of engineering reports;0.0
Fire insurance underwriting;Real estate affairs;0.0
Fire insurance;Provision of engineering reports;0.0
Fire resistant and fire preventive articles and materials;Pipes and tubes, and fittings therefor, including valves, non-metallic;0.0
Fire resistant and fire preventive articles and materials;Pitch, tar, bitumen and asphalt;0.0
Fire resistant and fire preventive articles and materials;Railway materials, non-metallic;0.0
Fire resistant and fire preventive articles and materials;Scaffolding, non-metallic;0.0
Fire resistant and fire preventive articles and materials;Signs, and information and advertising displays, non-metallic;0.0
Fire resistant and fire preventive articles and materials;Stone, rock, clay and minerals;0.0
Fire resistant and fire preventive articles and materials;Wood and artificial wood;0.0
Fire tending implements;Access control devices;0.0
Fire tending implements;Air fragrancing apparatus;0.0
Fire tending implements;Alarms and warning equipment;0.0
Fire tending implements;Apparatus and instruments for accumulating and storing electricity;0.0
Fire tending implements;Apparatus and instruments for controlling electricity;0.0
Fire tending implements;Aquaria and vivaria;0.0
Fire tending implements;Audio/visual and photographic devices;0.0
Fire tending implements;Communications equipment;0.0
Fire tending implements;Data processing equipment and accessories (electrical and mechanical);0.0
Fire tending implements;Data storage devices;0.0
Fire tending implements;Databases (electronic);0.0
Fire tending implements;Dental cleaning articles;0.0
Fire tending implements;Devices for pest and vermin control;0.0
Fire tending implements;Dustbins;0.0
Fire tending implements;Electric and electronic components;0.0
Fire tending implements;Glasses, drinking vessels and barware;0.0
Fire tending implements;Lasers;0.0
Fire tending implements;Measuring, counting, alignment and calibrating instruments;0.0
Fire tending implements;Media content;0.0
Fire tending implements;Monitoring instruments;0.0
Fire tending implements;Optical enhancers;0.0
Fire tending implements;Optical goods;0.0
Fire tending implements;Photovoltaics;0.0
Fire tending implements;Protective and safety equipment;0.0
Fire tending implements;Replicating apparatus;0.0
Fire tending implements;Sensors and detectors;0.0
Fire tending implements;Signal cables for IT, AV and telecommunication;0.0
Fire tending implements;Signalling apparatus;0.0
Fire tending implements;Software;0.0
Fire tending implements;Testing and quality control devices;0.0
Firearm targets;Toys;0.0
Fireplaces;Articles for animals;0.0
Fireplaces;Brushes and brush-making articles;0.0
Fireplaces;Building and construction materials and elements, not of metal;0.0
Fireplaces;Cleaning articles;0.0
Fireplaces;Cosmetic and toilet utensils;0.0
Fireplaces;Doors, gates, windows and window coverings, not of metal;0.0
Fireplaces;Gardening articles;0.0
Fireplaces;Statues and works of art made of materials such as stone, concrete and marble, included in the class;0.0
Fireplaces;Statues, figurines, plaques and works of art, made of materials such as porcelain, terra-cotta or glass, included in the class;0.0
Fireplaces;Structures and transportable buildings, not of metal;0.0
Fireplaces;Tableware, cookware and containers;0.0
Fireplaces;Unworked and semi-worked glass, not specified for use;0.0
Firing platforms;Fireworks;0.0
Fiscal assessments;Real estate affairs;0.0
Fiscal valuation;Real estate affairs;0.0
Fish hooks;Animal skins;0.0
Fish hooks;Coverings of skins [furs];0.0
Fish hooks;Harness for animals;0.0
Fish hooks;Harnesses;0.0
Fish hooks;Imitation leather;0.0
Fish hooks;Leather for shoes;0.0
Fish hooks;Saddlery;0.0
Fish hooks;Straps of leather [saddlery];0.0
Fish hooks;Trunks [luggage];0.0
Fish hooks;Trunks and suitcases;0.0
Fish hooks;Whips;0.0
Fish meal for human consumption;Cooked meals consisting principally of fish;0.0
Fish, not live;Animal feed;0.0
Fish, not live;Animal foodstuffs;0.0
Fish, not live;Apple purée;0.0
Fish, not live;Artificial coffee;0.0
Fish, not live;Baking powder;0.0
Fish, not live;Biscotti;0.0
Fish, not live;Biscuits;0.0
Fish, not live;Bread;0.0
Fish, not live;Buns;0.0
Fish, not live;Cake batter;0.0
Fish, not live;Cakes;0.0
Fish, not live;Chai tea;0.0
Fish, not live;Cheeseburgers [sandwiches];0.0
Fish, not live;Cocoa;0.0
Fish, not live;Coffee;0.0
Fish, not live;Condiments;0.0
Fish, not live;Cooling ice;0.0
Fish, not live;Cream puffs;0.0
Fish, not live;Custard;0.0
Fish, not live;Fish crackers;0.0
Fish, not live;Flour;0.0
Fish, not live;Fodder;0.0
Fish, not live;Foodstuffs and fodder for animals;0.0
Fish, not live;Glucose for culinary purposes;0.0
Fish, not live;Golden syrup;0.0
Fish, not live;Honey;0.0
Fish, not live;Ice for refreshment;0.0
Fish, not live;Lecithin for culinary purposes;0.0
Fish, not live;Malt biscuits;0.0
Fish, not live;Molasses for food;0.0
Fish, not live;Mustard;0.0
Fish, not live;Noodle-based prepared meals;0.0
Fish, not live;Pastries;0.0
Fish, not live;Pastry;0.0
Fish, not live;Pollen prepared as foodstuff;0.0
Fish, not live;Preparations made from cereals;0.0
Fish, not live;Propolis;0.0
Fish, not live;Restaurant services;0.0
Fish, not live;Rice;0.0
Fish, not live;Rice-based snack food;0.0
Fish, not live;Royal jelly;0.0
Fish, not live;Sago;0.0
Fish, not live;Salt;0.0
Fish, not live;Sandwiches;0.0
Fish, not live;Sauces [condiments];0.0
Fish, not live;Seasonings;0.0
Fish, not live;Spices;0.0
Fish, not live;Sponge cakes;0.0
Fish, not live;Spring rolls;0.0
Fish, not live;Steamed cakes of smashed fish and yam (hampen);0.0
Fish, not live;Steamed or toasted cakes of fish paste (kamaboko);0.0
Fish, not live;Sugar;0.0
Fish, not live;Sweetmeats [candy];0.0
Fish, not live;Syrups and treacles;0.0
Fish, not live;Tapioca;0.0
Fish, not live;Tea;0.0
Fish, not live;Treacle;0.0
Fish, not live;Vinegar;0.0
Fish, not live;Yeast;0.0
Fish, not live;Yoghurt;0.0
Fish, preserved;Dietetic substances adapted for medical use;0.0
Fish, seafood and molluscs spreads;Bread;0.0
Fish, seafood and molluscs spreads;Cereal bars and energy bars;0.0
Fish, seafood and molluscs spreads;Cereals;0.0
Fish, seafood and molluscs spreads;Doughs, batters, and mixes therefor;0.0
Fish, seafood and molluscs spreads;Dried and fresh pastas, noodles and dumplings;0.0
Fish, seafood and molluscs spreads;Flavoured carbonated beverages;0.0
Fish, seafood and molluscs spreads;Fungi;0.0
Fish, seafood and molluscs spreads;Juices;0.0
Fish, seafood and molluscs spreads;Non-dairy milk;0.0
Fish, seafood and molluscs spreads;Pastries, cakes, tarts and biscuits (cookies);0.0
Fish, seafood and molluscs spreads;Plants;0.0
Fish, seafood and molluscs spreads;Savory sauces, chutneys and pastes;0.0
Fish, seafood and molluscs spreads;Sweet glazes and fillings;0.0
Fish, seafood and molluscs spreads;Sweets (candy), candy bars and chewing gum;0.0
Fish, seafood and molluscs spreads;Syrups and treacles;0.0
Fish, seafood and molluscs spreads;Waters;0.0
Fish, seafood and molluscs spreads;Yeast and leavening agents;0.0
Fish, seafood and molluscs, not live;Baked goods, confectionery, chocolate and desserts;0.0
Fish, seafood and molluscs, not live;Bedding and litter for animals;0.0
Fish, seafood and molluscs, not live;Beer and brewery products;0.0
Fish, seafood and molluscs, not live;Coffee, teas and cocoa and substitutes therefor;0.0
Fish, seafood and molluscs, not live;Convenience food and savoury snacks;0.0
Fish, seafood and molluscs, not live;Dietetic substances adapted for medical use;0.0
Fish, seafood and molluscs, not live;Foodstuffs and fodder for animals;0.0
Fish, seafood and molluscs, not live;Ice, ice creams, frozen yogurts and sorbets;0.0
Fish, seafood and molluscs, not live;Non-alcoholic beverages;0.0
Fish, seafood and molluscs, not live;Non-alcoholic preparations for making beverages;0.0
Fish, seafood and molluscs, not live;Processed grains, starches, and goods made thereof, baking preparations and yeasts;0.0
Fish, seafood and molluscs, not live;Salts, seasonings, flavourings and condiments;0.0
Fish, seafood and molluscs, not live;Sugars, natural sweeteners, sweet coatings and fillings, bee products;0.0
Fish, tinned;Dietetic substances adapted for medical use;0.0
Fish, tinned;Golden syrup;0.0
Fish, tinned;Honey;0.0
Fish, tinned;Maple syrup;0.0
Fish, tinned;Molasses for food;0.0
Fish, tinned;Rice;0.0
Fish, tinned;Sago;0.0
Fish, tinned;Seasonings;0.0
Fish, tinned;Spices;0.0
Fish, tinned;Syrups and treacles;0.0
Fish, tinned;Tapioca;0.0
Fish-based foodstuffs;Cooked snails;0.0
Fish-based foodstuffs;Dietetic substances adapted for medical use;0.0
Fish-based foodstuffs;Dried squid;0.0
Fish-based foodstuffs;Snail eggs for consumption;0.0
Fish-based foodstuffs;Snails prepared for human consumption;0.0
Fish-based foodstuffs;Squid [prepared];0.0
Fishing tackle;Animal skins;0.0
Fishing tackle;Coverings of skins [furs];0.0
Fishing tackle;Harness for animals;0.0
Fishing tackle;Imitation leather;0.0
Fishing tackle;Leather for shoes;0.0
Fishing tackle;Saddlery;0.0
Fishing tackle;Straps of leather [saddlery];0.0
Fishing tackle;Trunks [luggage];0.0
Fishing tackle;Whips;0.0
Fitted vanity cases;Clothing;0.0
Fittings for engine boilers;Machine couplings and transmissions, except for land vehicles;0.0
Flare stacks for use in the oil industry;Refrigerating apparatus;0.0
Flare stacks for use in the oil industry;Steam generating apparatus;0.0
Flare stacks for use in the oil industry;Water supply installations;0.0
Flat irons;Apparatus and instruments for conducting electricity;0.0
Flat irons;Apparatus and instruments for regulating electricity;0.0
Flat irons;Apparatus and instruments for switching electricity;0.0
Flat irons;Apparatus and instruments for transforming electricity;0.0
Flat irons;Calculators;0.0
Flat irons;Cash registers;0.0
Flat irons;Checking (supervision) apparatus and instruments;0.0
Flat irons;Cinematographic machines and apparatus;0.0
Flat irons;Coin-operated mechanisms;0.0
Flat irons;Compact discs;0.0
Flat irons;Computers;0.0
Flat irons;Data processing apparatus;0.0
Flat irons;DVDs;0.0
Flat irons;Fire extinguishers;0.0
Flat irons;Life-saving apparatus and instruments;0.0
Flat irons;Magnetic data media;0.0
Flat irons;Measuring apparatus and instruments;0.0
Flat irons;Nautical apparatus and instruments;0.0
Flat irons;Optical apparatus and instruments;0.0
Flat irons;Phonograph records;0.0
Flat irons;Photographic apparatus and instruments;0.0
Flat irons;Scientific apparatus and instruments;0.0
Flat irons;Signalling apparatus and instruments;0.0
Flat irons;Software;0.0
Flat irons;Sound recording apparatus;0.0
Flat irons;Sound reproduction apparatus;0.0
Flat irons;Sound transmitting apparatus;0.0
Flat irons;Surveying apparatus and instruments;0.0
Flat irons;Teaching apparatus and instruments;0.0
Flat irons;Weighing apparatus and instruments;0.0
Flavoured carbonated beverages;Cider;0.0
Flavoured carbonated beverages;Spirits and liquors;0.0
Flavoured carbonated beverages;Wine;0.0
Flavourings for beverages [essential oils];Abraders;0.0
Flavourings for beverages [essential oils];Abrasives;0.0
Flavourings for beverages [essential oils];Bleaching preparations;0.0
Flavourings for beverages [essential oils];Cakes of toilet soap;0.0
Flavourings for beverages [essential oils];Cosmetics;0.0
Flavourings for beverages [essential oils];Dentifrices;0.0
Flavourings for beverages [essential oils];Fragrances;0.0
Flavourings for beverages [essential oils];Furbishing preparations;0.0
Flavourings for beverages [essential oils];Hair care creams;0.0
Flavourings for beverages [essential oils];Hair care lotions;0.0
Flavourings for beverages [essential oils];Hair lotions;0.0
Flavourings for beverages [essential oils];Hair tonic;0.0
Flavourings for beverages [essential oils];Laundry preparations;0.0
